Query	Hit	Bits
sp|P05043|SP0E_BACSU Aspartyl-phosphate phosphatase Spo0E OS=Bacillus subtilis (strain 168) GN=spo0E PE=1 SV=1	gi|545117034|ref|NZ_AVPM01000001.1| Bacillus sp. EGD-AK10 contig1, whole genome shotgun sequence	180.794
sp|P05043|SP0E_BACSU Aspartyl-phosphate phosphatase Spo0E OS=Bacillus subtilis (strain 168) GN=spo0E PE=1 SV=1	gi|350264100|ref|NC_016047.1| Bacillus subtilis subsp. spizizenii TU-B-10, complete genome	180.794
sp|P05043|SP0E_BACSU Aspartyl-phosphate phosphatase Spo0E OS=Bacillus subtilis (strain 168) GN=spo0E PE=1 SV=1	gi|255767013|ref|NC_000964.3| Bacillus subtilis subsp. subtilis str. 168 chromosome, complete genome	180.794
sp|P05043|SP0E_BACSU Aspartyl-phosphate phosphatase Spo0E OS=Bacillus subtilis (strain 168) GN=spo0E PE=1 SV=1	gi|740748848|ref|NZ_CP007640.1| Bacillus atrophaeus subsp. globigii strain BSS genome	154.35
sp|P05043|SP0E_BACSU Aspartyl-phosphate phosphatase Spo0E OS=Bacillus subtilis (strain 168) GN=spo0E PE=1 SV=1	gi|308171891|ref|NC_014551.1| Bacillus amyloliquefaciens DSM7 complete genome	136.063
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|545117754|ref|NZ_AVPM01000049.1| Bacillus sp. EGD-AK10 contig2, whole genome shotgun sequence	524.011
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|350264100|ref|NC_016047.1| Bacillus subtilis subsp. spizizenii TU-B-10, complete genome	524.011
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|255767013|ref|NC_000964.3| Bacillus subtilis subsp. subtilis str. 168 chromosome, complete genome	524.011
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|740748848|ref|NZ_CP007640.1| Bacillus atrophaeus subsp. globigii strain BSS genome	513.602
sp|P06534|SP0A_BACSU Stage 0 sporulation protein A OS=Bacillus subtilis (strain 168) GN=spo0A PE=1 SV=1	gi|308171891|ref|NC_014551.1| Bacillus amyloliquefaciens DSM7 complete genome	511.07
